year,sex,age_years,length_mm,mass_kg
1996,F,2,427,1.64
1996,F,2,447,1.811
1996,F,2,437,1.883
1996,F,2,417,1.495
1996,F,2,447,1.77
1996,F,2,447,1.96
1996,F,2,457,1.897
1996,F,2,468,2.259
1996,F,2,427,1.695
1996,F,2,447,1.779
1996,F,2,417,1.528
1996,F,3,457,1.941
1996,F,3,468,2.425
1996,F,3,513,2.753
1996,F,2,407,1.611
1996,F,2,437,1.872
1996,F,2,437,1.843
1996,F,2,427,1.595
1996,F,2,447,1.82
1996,F,2,447,2.068
1996,F,2,407,1.347
1996,F,3,525,2.947
1996,F,2,407,1.551
1996,F,2,407,1.425
1996,F,2,437,1.738
1996,F,2,447,2.028
1996,F,3,513,3.001
1996,F,2,437,1.701
1996,F,2,417,1.568
1996,F,2,437,1.728
1996,F,2,447,2.118
1996,F,3,513,2.815
1996,F,2,457,1.926
1996,F,2,447,1.896
1996,F,2,407,1.462
1996,F,2,437,1.612
1996,F,2,417,1.596
1996,F,2,427,1.745
1996,F,2,417,1.586
1996,F,2,427,1.653
1996,F,3,513,2.872
1996,F,2,457,1.984
1996,F,2,417,1.622
1996,F,3,501,2.775
1996,F,2,427,1.654
1996,F,2,447,1.815
1996,F,2,427,1.636
1996,F,2,437,1.782
1996,F,2,398,1.18
1996,F,2,407,1.435
1996,F,2,447,1.868
1996,F,2,437,1.76
1996,F,2,427,1.602
1996,F,2,427,1.591
1996,F,3,479,2.578
1996,F,2,417,1.414
1996,F,2,447,1.89
1996,F,2,437,1.625
1996,F,3,501,2.703
1996,F,2,437,1.632
1996,F,2,457,1.945
1996,F,2,457,2.137
1996,F,3,513,3.095
1996,F,2,457,2.016
1996,F,2,427,1.525
1996,F,2,417,1.458
1996,F,2,417,1.633
1996,F,3,501,2.572
1996,F,2,437,1.641
1996,F,2,389,1.215
1996,F,2,417,1.562
1996,F,2,457,1.891
1996,F,2,457,1.97
1996,F,2,437,1.62
1996,F,2,447,1.928
1996,F,2,417,1.573
1996,F,2,437,1.727
1996,F,2,427,1.619
1996,F,3,501,2.905
1996,F,2,437,1.544
1996,F,2,427,1.406
1996,F,2,437,1.72
1996,F,2,437,1.699
1996,F,2,437,1.676
1996,F,2,457,1.994
1996,F,2,437,1.777
1996,F,3,501,2.991
1996,F,2,437,1.649
1996,F,2,417,1.645
1996,F,2,447,1.696
1996,F,3,525,3.377
1996,F,2,457,1.982
1996,F,3,479,2.393
1996,F,2,417,1.503
1996,F,2,457,2.203
1996,F,2,417,1.599
1996,F,2,447,1.952
1996,F,2,427,1.569
1996,F,2,427,1.579
1996,F,2,437,1.645
1996,F,2,447,2.027
1996,F,3,490,2.691
1996,F,2,447,1.814
1996,F,3,513,3.047
1996,F,2,407,1.385
1996,F,2,427,1.765
1996,F,2,427,1.527
1996,F,2,427,1.692
1996,F,2,398,1.314
1996,F,3,490,2.59
1996,F,3,479,2.452
1996,F,3,501,2.768
1996,F,2,417,1.602
1996,F,2,447,1.836
1996,F,2,398,1.202
1996,F,2,447,1.93
1996,F,2,427,1.715
1996,F,2,427,1.587
1996,F,2,447,1.825
1996,F,2,447,1.859
1996,F,2,427,1.581
